x,y,Distance
Karlovy Vary,Łódzkie,0.0
Karlovy Vary,Świętokrzyskie,0.0
Karlovy Vary,Lubelskie,0.0
Karlovy Vary,Podkarpackie,0.0
Karlovy Vary,Podlaskie,0.0
Karlovy Vary,Mazowieckie,0.0
Ústí nad Labem,Prague,0.0
Ústí nad Labem,Central Bohemian,22.81711294571755
Ústí nad Labem,South Bohemian,45.59747247818826
Ústí nad Labem,Plzeň,0.0
Ústí nad Labem,Karlovy Vary,0.0
Ústí nad Labem,Ústí nad Labem,200.0
Ústí nad Labem,Liberec,20.27386125553036
Ústí nad Labem,Hradec Králové,34.83325208441813
Ústí nad Labem,Olomouc,0.0
Ústí nad Labem,South Moravian,22.189498113702182
Ústí nad Labem,Vysočina,0.0
Ústí nad Labem,Pardubice,0.0
Ústí nad Labem,Zlín,28.472722298675635
Ústí nad Labem,Moravian-Silesian,0.0
Ústí nad Labem,Małopolskie,0.0
Ústí nad Labem,Śląskie,0.0
Ústí nad Labem,Wielkopolskie,0.0
Ústí nad Labem,Zachodniopomorskie,43.03435108552408
Ústí nad Labem,Lubuskie,50.86795582749997
Ústí nad Labem,Dolnośląskie,0.0
Ústí nad Labem,Opolskie,0.0
Ústí nad Labem,Kujawsko-Pomorskie,0.0
Ústí nad Labem,Warmińsko-Mazurskie,37.65651984143691
Ústí nad Labem,Pomorskie,0.0
Ústí nad Labem,Łódzkie,0.0
Ústí nad Labem,Świętokrzyskie,0.0
Ústí nad Labem,Lubelskie,0.0
Ústí nad Labem,Podkarpackie,0.0
Ústí nad Labem,Podlaskie,0.0
Ústí nad Labem,Mazowieckie,0.0
Liberec,Prague,0.0
Liberec,Central Bohemian,21.264317903828797
Liberec,South Bohemian,57.54344644939759
Liberec,Plzeň,0.0
Liberec,Karlovy Vary,0.0
Liberec,Ústí nad Labem,20.27386125553036
Liberec,Liberec,200.0
Liberec,Hradec Králové,54.33183784737502
Liberec,Olomouc,0.0
Liberec,South Moravian,0.0
Liberec,Vysočina,0.0
Liberec,Pardubice,0.0
Liberec,Zlín,54.460018622728455
Liberec,Moravian-Silesian,0.0
Liberec,Małopolskie,0.0
Liberec,Śląskie,0.0
Liberec,Wielkopolskie,0.0
Liberec,Zachodniopomorskie,33.84573252091651
Liberec,Lubuskie,30.26186951288143
Liberec,Dolnośląskie,0.0
Liberec,Opolskie,0.0
Liberec,Kujawsko-Pomorskie,0.0
Liberec,Warmińsko-Mazurskie,55.60980027623371
Liberec,Pomorskie,0.0
Liberec,Łódzkie,0.0
Liberec,Świętokrzyskie,0.0
Liberec,Lubelskie,20.768873122386665
Liberec,Podkarpackie,0.0
Liberec,Podlaskie,0.0
Liberec,Mazowieckie,0.0
Hradec Králové,Prague,0.0
Hradec Králové,Central Bohemian,21.795623941225404
Hradec Králové,South Bohemian,100.92530754436113
Hradec Králové,Plzeň,43.22500816285527
Hradec Králové,Karlovy Vary,0.0
Hradec Králové,Ústí nad Labem,34.83325208441813
Hradec Králové,Liberec,54.33183784737502
Hradec Králové,Hradec Králové,200.0
Hradec Králové,Olomouc,26.78722799550001
Hradec Králové,South Moravian,0.0
Hradec Králové,Vysočina,24.34679679235273
Hradec Králové,Pardubice,30.86976579975664
Hradec Králové,Zlín,86.3583343147161
Hradec Králové,Moravian-Silesian,0.0
Hradec Králové,Małopolskie,0.0
Hradec Králové,Śląskie,0.0
Hradec Králové,Wielkopolskie,0.0
Hradec Králové,Zachodniopomorskie,36.47110113273374
Hradec Králové,Lubuskie,34.5444066486523
Hradec Králové,Dolnośląskie,0.0
Hradec Králové,Opolskie,0.0
Hradec Králové,Kujawsko-Pomorskie,22.502720683110976
Hradec Králové,Warmińsko-Mazurskie,47.82967365000121
Hradec Králové,Pomorskie,0.0
Hradec Králové,Łódzkie,0.0
Hradec Králové,Świętokrzyskie,0.0
Hradec Králové,Lubelskie,0.0
Hradec Králové,Podkarpackie,0.0
Hradec Králové,Podlaskie,0.0
Hradec Králové,Mazowieckie,0.0
Olomouc,Prague,0.0
